file,avg_energy,avg_latency,deadline_success,cloud_tasks,edge_tasks,device_tasks,total_tasks
results/result_0.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_1.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_2.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_3.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_4.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_5.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_6.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_7.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_8.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_9.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_10.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_11.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_12.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_13.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_14.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_15.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_16.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_17.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_18.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_19.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_20.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_21.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_22.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_23.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_24.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_25.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_26.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_27.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_28.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_29.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_30.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_31.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_32.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_33.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_34.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_35.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_36.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_37.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_38.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_39.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_40.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_41.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_42.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_43.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_44.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_45.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_46.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_47.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_48.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_49.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_50.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_51.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_52.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_53.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_54.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_55.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_56.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_57.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_58.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_59.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_60.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_61.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_62.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_63.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_64.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_65.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_66.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_67.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_68.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_69.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_70.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_71.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_72.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_73.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_74.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_75.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_76.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_77.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_78.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_79.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_80.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_81.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_82.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_83.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_84.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_85.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_86.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_87.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_88.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_89.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_90.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_91.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_92.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_93.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_94.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_95.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_96.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_97.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_98.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_99.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_100.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_101.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_102.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_103.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_104.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_105.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_106.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_107.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_108.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_109.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_110.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_111.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_112.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_113.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_114.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_115.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_116.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_117.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_118.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_119.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_120.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_121.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_122.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_123.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_124.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_125.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_126.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_127.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_128.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_129.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_130.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_131.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_132.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_133.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_134.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_135.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_136.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_137.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_138.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_139.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_140.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_141.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_142.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_143.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
